full_name,salary2,yearID,,,,,,,,,,,,,,,,,,,,,,
Albert Belle,"$12,868,670 ",2000,,,,,,,,,,,,,,,,,,,,,,
Bernie Williams,"$12,357,143 ",2000,,,,,,,,,,,,,,,,,,,,,,
Larry Walker,"$12,142,857 ",2000,,,,,,,,,,,,,,,,,,,,,,
Mike Piazza,"$12,071,429 ",2000,,,,,,,,,,,,,,,,,,,,,,
Mo Vaughn,"$11,166,667 ",2000,,,,,,,,,,,,,,,,,,,,,,
Sammy Sosa,"$11,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Barry Bonds,"$10,658,826 ",2000,,,,,,,,,,,,,,,,,,,,,,
Derek Jeter,"$10,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Raul Mondesi,"$10,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Gary Sheffield,"$9,916,667 ",2000,,,,,,,,,,,,,,,,,,,,,,
Shawn Green,"$9,416,667 ",2000,,,,,,,,,,,,,,,,,,,,,,
Mark McGwire,"$9,333,333 ",2000,,,,,,,,,,,,,,,,,,,,,,
Ken Griffey Jr.,"$9,329,700 ",2000,,,,,,,,,,,,,,,,,,,,,,
Rafael Palmiero,"$8,620,921 ",2000,,,,,,,,,,,,,,,,,,,,,,
Ivan Rodriguez,"$8,600,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Andres Galarraga,"$8,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Matt Williams,"$8,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Brian Jordan,"$7,600,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Ray Lankford,"$7,600,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Juan Gonzalez,"$7,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Kenny Lofton,"$7,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Roberto Alomar,"$7,196,756 ",2000,,,,,,,,,,,,,,,,,,,,,,
Brady Anderson,"$7,127,199 ",2000,,,,,,,,,,,,,,,,,,,,,,
Frank Thomas,"$7,100,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Greg Vaughn,"$7,097,962 ",2000,,,,,,,,,,,,,,,,,,,,,,
David Justice,"$7,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jim Thome,"$7,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Craig Biggio,"$6,750,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Carlos Delgado,"$6,600,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jeff Bagwell,"$6,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Paul O'Neill,"$6,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
John Olerud,"$6,350,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Tony Gwynn,"$6,300,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Cal Ripken Jr.,"$6,300,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Vinny Castilla,"$6,250,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Javy Lopez,"$6,250,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Todd Hundley,"$6,125,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jeff Kent,"$6,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Chuck Knoblauch,"$6,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Tim Salmon,"$6,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Fred McGriff,"$5,945,818 ",2000,,,,,,,,,,,,,,,,,,,,,,
Ryan Klesko,"$5,750,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jose Offerman,"$5,750,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Kevin Young,"$5,625,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Travis Fryman,"$5,550,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Ellis Burks,"$5,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Edgar Martinez,"$5,400,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Steve Finley,"$5,375,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Eric Karros,"$5,375,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Mark Grace,"$5,300,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Barry Larkin,"$5,300,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Moises Alou,"$5,250,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Marquis Grissom,"$5,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Ray Durham,"$4,900,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Mike Lieberthal,"$4,833,333 ",2000,,,,,,,,,,,,,,,,,,,,,,
Tino Martinez,"$4,800,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Chipper Jones,"$4,750,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
J.T. Snow,"$4,750,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Charles Johnson,"$4,600,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Ken Caminiti,"$4,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Royce Clayton,"$4,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jim Edmonds,"$4,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Cliff Floyd,"$4,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Eric Young,"$4,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jeromy Burnitz,"$4,462,500 ",2000,,,,,,,,,,,,,,,,,,,,,,
Bobby Higginson,"$4,425,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Alex Rodriguez,"$4,362,500 ",2000,,,,,,,,,,,,,,,,,,,,,,
Todd Zeile,"$4,333,333 ",2000,,,,,,,,,,,,,,,,,,,,,,
David Segui,"$4,325,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Manny Ramirez,"$4,250,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Edgardo Alfonzo,"$4,225,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Rico Brogna,"$4,200,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
B.J. Surhoff,"$4,146,789 ",2000,,,,,,,,,,,,,,,,,,,,,,
Tony Clark,"$4,062,500 ",2000,,,,,,,,,,,,,,,,,,,,,,
Johnny Damon,"$4,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Rondell White,"$4,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Dan Wilson,"$4,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Damion Easley,"$3,950,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Bret Boone,"$3,750,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Nomar Garciaparra,"$3,700,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Andruw Jones,"$3,700,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Reggie Sanders,"$3,700,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jeff Cirillo,"$3,600,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Rusty Greer,"$3,600,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Vladimir Guerrero,"$3,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jose Vizcaino,"$3,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Luis Gonzalez,"$3,333,333 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jose Hernandez,"$3,333,333 ",2000,,,,,,,,,,,,,,,,,,,,,,
Garret Anderson,"$3,250,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Garret Anderson,"$3,250,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jeffrey Hammonds,"$3,183,333 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jason Giambi,"$3,103,333 ",2000,,,,,,,,,,,,,,,,,,,,,,
